Date,Close,MoM_Change_%
2024-01-31,3.04,
2024-02-29,2.79,-8.22
2024-03-31,2.85,2.15
2024-04-30,1.64,-42.46
2024-05-31,1.76,7.32
2024-06-30,1.02,-42.05
2024-07-31,0.89,-12.75
2024-08-31,0.61,-31.46
2024-09-30,0.73,19.67
2024-10-31,0.64,-12.33
2024-11-30,1.19,85.94
2024-12-31,0.85,-28.57
2025-01-31,0.63,-25.88
2025-02-25,0.33,-47.62
